# RSS imaging optics properties									
#									
# V4: Focal lengths from ZEMAX, with adjustment to agree with 5mm grid									
# distortion from metal shim cartesian mask imaging:  V4, Coll and Cam temp adjustment									
#   mm and degrees									
#  dFcoldt	dFcamdt								
0.0090	0.0067								
#	0.99723	adjustment							
# Ang	  mm	  mm^-2	 mm^-4	  mm	  mm	  mm	rad^-2	 rad	rad
# Wavel	Fcoll	  Acoll	 Bcoll	ydcoll	xdcoll	 Fcam   acam  alphydcam	alphxdcam
3000	630.097	0.00906	0.00672	1.565	1.828	328.811	0.000	0.000	0.000
3200	629.258	0.00906	0.00672	1.565	1.828	328.166	0.000	0.000	0.000
3400	628.635	0.00906	0.00672	1.565	1.828	327.808	0.000	0.000	0.000
3600	628.161	0.00906	0.00672	1.565	1.828	327.618	0.000	0.000	0.000
3800	627.792	0.00906	0.00672	1.565	1.828	327.528	0.000	0.000	0.000
4000	627.500	0.00906	0.00672	1.565	1.828	327.499	0.000	0.000	0.000
4200	627.266	0.00906	0.00672	1.565	1.828	327.508	0.000	0.000	0.000
4400	627.077	0.00906	0.00672	1.565	1.828	327.540	0.000	0.000	0.000
4600	626.922	0.00906	0.00672	1.565	1.828	327.585	0.000	0.000	0.000
4800	626.794	0.00906	0.00672	1.565	1.828	327.639	0.000	0.000	0.000
5000	626.689	0.00906	0.00672	1.565	1.828	327.696	0.000	0.000	0.000
5200	626.602	0.00906	0.00672	1.565	1.828	327.756	0.000	0.000	0.000
5400	626.530	0.00906	0.00672	1.565	1.828	327.816	0.000	0.000	0.000
5600	626.470	0.00906	0.00672	1.565	1.828	327.876	0.000	0.000	0.000
5800	626.421	0.00906	0.00672	1.565	1.828	327.934	0.000	0.000	0.000
6000	626.382	0.00906	0.00672	1.565	1.828	327.991	0.000	0.000	0.000
6200	626.349	0.00906	0.00672	1.565	1.828	328.046	0.000	0.000	0.000
6400	626.324	0.00906	0.00672	1.565	1.828	328.100	0.000	0.000	0.000
6600	626.305	0.00906	0.00672	1.565	1.828	328.152	0.000	0.000	0.000
6800	626.290	0.00906	0.00672	1.565	1.828	328.202	0.000	0.000	0.000
7000	626.281	0.00906	0.00672	1.565	1.828	328.251	0.000	0.000	0.000
7200	626.276	0.00906	0.00672	1.565	1.828	328.298	0.000	0.000	0.000
7400	626.274	0.00906	0.00672	1.565	1.828	328.344	0.000	0.000	0.000
7600	626.276	0.00906	0.00672	1.565	1.828	328.388	0.000	0.000	0.000
7800	626.281	0.00906	0.00672	1.565	1.828	328.432	0.000	0.000	0.000
8000	626.289	0.00906	0.00672	1.565	1.828	328.474	0.000	0.000	0.000
8200	626.299	0.00906	0.00672	1.565	1.828	328.515	0.000	0.000	0.000
8400	626.312	0.00906	0.00672	1.565	1.828	328.556	0.000	0.000	0.000
8600	626.327	0.00906	0.00672	1.565	1.828	328.595	0.000	0.000	0.000
8800	626.344	0.00906	0.00672	1.565	1.828	328.634	0.000	0.000	0.000
9000	626.363	0.00906	0.00672	1.565	1.828	328.672	0.000	0.000	0.000
9200	626.384	0.00906	0.00672	1.565	1.828	328.710	0.000	0.000	0.000
9400	626.407	0.00906	0.00672	1.565	1.828	328.747	0.000	0.000	0.000
9600	626.432	0.00906	0.00672	1.565	1.828	328.783	0.000	0.000	0.000
9800	626.458	0.00906	0.00672	1.565	1.828	328.819	0.000	0.000	0.000
10000	626.486	0.00906	0.00672	1.565	1.828	328.855	0.000	0.000	0.000
