# RSS Beamsplitter
# from datafiles/poldist_files.xlsx
# V8: separate tables for O and E
# bsrot, distortion from 20210212 20201001_bsflex_4b/RSSpoldist
# y_0 from 20210213 polaptrace.xlsx/RSSpoldist saltpol re-optimization with wedge
#  degrees in collimated space
bsrot         yoff        xoff
0.152   0   0
# separate O, E tables
Wavs
20
#
# Ang\deg   1           1       1000        1000       1000        1        1000       1000
Wavel        y_0        y_Y     y_YY       y_YYY       y_XX       x_X       x_XY      x_XXY
3000    -3.05181    0.99286 -0.86698    -0.13500    0.00425   0.99752   -0.33124   -0.03990
3100    -2.99826    0.99267 -0.86852    -0.13389    0.00150   0.99733   -0.33858   -0.03778
3200    -2.95134    0.99249 -0.87007    -0.13285   -0.00118   0.99715   -0.34592   -0.03566
3300    -2.90995    0.99232 -0.87161    -0.13187   -0.00380   0.99697   -0.35326   -0.03354
3400    -2.87321    0.99215 -0.87316    -0.13097   -0.00636   0.99679   -0.36060   -0.03142
3500    -2.84040    0.99199 -0.87470    -0.13013   -0.00886   0.99663   -0.36794   -0.02929
3600    -2.81097    0.99183 -0.87625    -0.12936   -0.01130   0.99646   -0.37529   -0.02717
3800    -2.76041    0.99153 -0.87934    -0.12803   -0.01600   0.99616   -0.38997   -0.02293
4000    -2.71864    0.99126 -0.88243    -0.12698   -0.02045   0.99587   -0.40465   -0.01868
4200    -2.68364    0.99101 -0.88552    -0.12620   -0.02466   0.99561   -0.41933   -0.01444
4600    -2.62845    0.99057 -0.89169    -0.12547   -0.03234   0.99516   -0.44870   -0.00595
5000    -2.58703    0.99023 -0.89787    -0.12584   -0.03905   0.99480   -0.47807    0.00254
5500    -2.54788    0.98993 -0.90560    -0.12785   -0.04606   0.99447   -0.51478    0.01315
6000    -2.51800    0.98977 -0.91332    -0.13158   -0.05155   0.99429   -0.55148    0.02376
6500    -2.49429    0.98976 -0.92104    -0.13704   -0.05552   0.99425   -0.58819    0.03437
7000    -2.47483    0.98989 -0.92877    -0.14421   -0.05796   0.99436   -0.62490    0.04498
8000    -2.44406    0.99058 -0.94421    -0.16373   -0.05827   0.99499   -0.69832    0.06620
9000    -2.41972    0.99184 -0.95966    -0.19013   -0.05248   0.99620   -0.77173    0.08743
10000   -2.39881    0.99367 -0.97511    -0.22342   -0.04059   0.99797   -0.84515    0.10865
10500   -2.38908    0.99480 -0.98283    -0.24264   -0.03236   0.99907   -0.88186    0.11926
Wavel        y_0        y_Y     y_YY       y_YYY       y_XX       x_X       x_XY      x_XXY
3000     3.06844    1.00617  0.21499    -0.11444    0.18355   0.99771    0.02179    0.07415
3100     3.01416    1.00594  0.21000    -0.11595    0.18820   0.99749    0.02236    0.07335
3200     2.96662    1.00571  0.20501    -0.11740    0.19273   0.99728    0.02293    0.07256
3300     2.92468    1.00549  0.20002    -0.11876    0.19712   0.99708    0.02351    0.07177
3400     2.88747    1.00528  0.19504    -0.12004    0.20137   0.99688    0.02408    0.07097
3500     2.85425    1.00507  0.19005    -0.12125    0.20550   0.99669    0.02465    0.07018
3600     2.82446    1.00487  0.18506    -0.12238    0.20948   0.99650    0.02523    0.06939
3800     2.77328    1.00449  0.17509    -0.12441    0.21706   0.99615    0.02637    0.06780
4000     2.73102    1.00413  0.16511    -0.12612    0.22411   0.99583    0.02752    0.06621
4200     2.69561    1.00380  0.15513    -0.12753    0.23062   0.99553    0.02867    0.06462
4600     2.63979    1.00322  0.13518    -0.12941    0.24205   0.99502    0.03096    0.06145
5000     2.59792    1.00274  0.11523    -0.13004    0.25134   0.99461    0.03325    0.05827
5500     2.55835    1.00228  0.09029    -0.12909    0.25996   0.99425    0.03612    0.05430
6000     2.52815    1.00199  0.06536    -0.12619    0.26524   0.99405    0.03899    0.05033
6500     2.50419    1.00185  0.04042    -0.12135    0.26720   0.99401    0.04185    0.04637
7000     2.48452    1.00188  0.01548    -0.11457    0.26582   0.99414    0.04472    0.04240
8000     2.45342    1.00242 -0.03440    -0.09518    0.25306   0.99489    0.05045    0.03446
9000     2.42881    1.00361 -0.08428    -0.06803    0.22697   0.99630    0.05619    0.02652
10000    2.40766    1.00544 -0.13415    -0.03310    0.18755   0.99837    0.06192    0.01858
10500    2.39782    1.00659 -0.15909    -0.01273    0.16285   0.99965    0.06479    0.01461
